molecule	VIP
93	1.401201131055577
89	1.3992725149791392
42	1.3987524426256126
84	1.3982260519162713
770	1.3979745910650412
707	1.3971809275099305
634	1.3970822773702953
184	1.3961977465015083
782	1.3959687908938916
706	1.3956674131113573
720	1.3955520209113208
721	1.3954630245309423
729	1.3954491272615264
278	1.3949199116605824
761	1.3946276415680456
63	1.3944535188553726
696	1.394432190631357
763	1.3943066824601034
710	1.3938090826801999
768	1.3936253233412652
728	1.3935180891400556
723	1.393516899766861
202	1.3930861134990948
694	1.3923285657319693
741	1.3920209430272006
379	1.391150504682275
62	1.3909190855387434
708	1.3908384391617652
750	1.3902810153906355
777	1.389047090317364
59	1.3890456129962268
703	1.3872534845319375
695	1.386302785182936
665	1.3860247812136877
745	1.3851192845150924
675	1.384803565636315
328	1.3823935194568524
781	1.3821501862871879
764	1.381861957254295
222	1.3816508133223449
753	1.379655383803814
138	1.3792931124794499
679	1.3786055905891623
139	1.3729469007663517
279	1.372856503047997
270	1.372032359226658
711	1.3693992367498065
773	1.361376170391136
704	1.3582459613179576
365	1.3576832708263546
239	1.3571837588666111
14	1.3504009532057761
86	1.3480242829223572
212	1.3439821318423095
751	1.3365776141523305
318	1.3356210662766843
271	1.3230064081312627
15	1.3121976585371857
737	1.311579777710985
680	1.310185465005211
700	1.304574624474002
37	1.2940506198242667
748	1.2922844725594123
5	1.2853972995214809
688	1.2844532900798764
759	1.2811043120566659
248	1.2801595712113605
699	1.2782483841936558
140	1.2723543691921808
112	1.268144591915347
671	1.2669858964217122
46	1.2626730013191585
48	1.257501693172987
47	1.2551734791024498
697	1.255071211477453
109	1.2538525604747266
676	1.2535525327064307
185	1.2496407015052222
682	1.2485276856205554
210	1.2478661499385173
94	1.2477044613348425
176	1.2471451343721263
701	1.2460739994467271
622	1.24549816865941
290	1.2413639554521032
604	1.239370716952472
668	1.2377585558771231
687	1.237668502958837
142	1.2341028668889065
131	1.2339898423195441
24	1.230648438554169
516	1.2306366450820991
482	1.230169052981629
683	1.2294521976156587
534	1.2276955377394467
814	1.227621182610013
822	1.226848235389796
746	1.2264743953630783
493	1.2260977300467795
686	1.2258120489836035
829	1.224925810845217
130	1.2242228257556573
504	1.2228740277363341
864	1.2227156621887798
39	1.2226319356971844
614	1.221939619325447
624	1.2216093943491264
661	1.2208274520829812
355	1.219577996112619
428	1.218983325003209
159	1.2181381090067758
409	1.2180666710163852
155	1.2179610875954958
73	1.2176919968142337
45	1.2174760136700526
203	1.2168199318976554
609	1.2166569318915907
828	1.2159030272407576
154	1.2156954857612412
589	1.215495941189288
137	1.2154629786555824
690	1.2153023909272116
374	1.2152150887236097
82	1.2149218715325263
494	1.2147463280691626
335	1.21465835398155
264	1.2142494249915163
440	1.2141468626217948
341	1.2130738765506957
41	1.212022885891671
942	1.211937465102294
8	1.21191415101173
693	1.2112436382928173
331	1.2108168878644745
281	1.2108017774998703
246	1.2107014271484526
427	1.2105054142951608
25	1.2104985093319776
509	1.2097904542390612
388	1.2096384855037863
43	1.2095928779102707
844	1.20874851080678
587	1.2084953276718267
171	1.2084146498351256
605	1.2083871622487623
934	1.2082525536754414
284	1.2081903555448956
611	1.2077449997959182
490	1.2075970334776123
599	1.2075606120491604
669	1.20742208640907
399	1.2069174332745891
827	1.2064791385972002
923	1.2063725889025916
641	1.2060698910571235
334	1.2059501947399485
372	1.2047205769402656
623	1.2046752133968885
893	1.204520584075748
480	1.2044512446505544
612	1.2042345395399248
432	1.203879055036437
519	1.2037307875949546
870	1.2035827394565881
823	1.203465976987507
333	1.20314046468761
385	1.2029317099449774
439	1.2024836699372408
396	1.2021079245411006
869	1.2020396497752472
515	1.201905420687234
606	1.2018355292080882
381	1.2017852611332407
324	1.2012616730690224
55	1.2010344864714702
32	1.2009423402877355
411	1.2007573750553135
585	1.2004564811232141
536	1.2004386916467322
581	1.200257635763764
610	1.2001541340645532
376	1.2000399235906294
544	1.2000092889325022
594	1.1999287312314948
908	1.1997419651563659
734	1.1997248640560143
601	1.1993470048467765
357	1.199258041320904
575	1.199169053625954
404	1.1989741812027412
464	1.1987325168441691
553	1.1985701422646928
879	1.1985635032341855
566	1.1985495829687272
559	1.19831053050925
535	1.19826050150398
449	1.1982535611980893
332	1.1978735627619124
123	1.1978244281249684
593	1.1978141267411058
508	1.1977131002075487
542	1.1975970536376892
489	1.197546238596731
619	1.1975107680752857
430	1.1973371491652942
526	1.197304321878538
549	1.1971573013399215
586	1.1970382878781953
530	1.1970379809906935
891	1.196840253660342
607	1.1968247506234848
558	1.1966458744495283
390	1.196509927817903
825	1.1964436393552096
561	1.1963523275129992
356	1.1960500920584134
442	1.1959886709420897
479	1.1958951417335215
410	1.1958095751086923
401	1.1957928090395213
375	1.1957286289851643
618	1.1955881603332548
358	1.1953571129688312
44	1.1953191298958081
569	1.1950709633859198
568	1.1950610087914486
6	1.1949834620188733
596	1.194862372940161
478	1.194673295291276
528	1.194534248014813
545	1.1945044909334341
527	1.1944564388655055
577	1.1944407882218462
348	1.1943803749425272
491	1.1943482723359935
454	1.1942569069157853
51	1.194255100601344
926	1.1941095421669055
916	1.1940153743353354
625	1.1939842588337166
342	1.193808523517968
118	1.1935199027871588
453	1.193421733463436
507	1.1933848443473898
349	1.1932107676011667
907	1.1930639027321468
595	1.192948671443449
21	1.1927904840949541
29	1.1925686368777222
429	1.1924997336371361
554	1.1923990865371283
420	1.1923111233533457
35	1.1920767845873435
518	1.192055194091076
626	1.191833958235196
914	1.1916541820075193
830	1.1916155117614335
537	1.1915847401520716
389	1.1915693868180597
465	1.1914228318559337
882	1.1911681022300846
368	1.1911250350287081
505	1.191022555067225
492	1.1908069001870867
576	1.1907844257860796
638	1.1906787802511907
412	1.1906317784191702
400	1.1901244891181728
580	1.1899857295527412
560	1.189612657187297
18	1.1895051636463
441	1.1892784321112715
884	1.1892283871429588
517	1.1892157296976091
435	1.1890117747113595
567	1.1885239811687034
648	1.1878819925451034
459	1.1876229062259203
452	1.1874142098134906
406	1.1871640191211579
852	1.1868698009925456
664	1.1860641409166497
510	1.1859202370726494
470	1.18550312412701
731	1.1854250079402215
840	1.185273983546868
881	1.1849112574975977
460	1.1838621549378985
590	1.1833783761848464
887	1.1832434563367717
818	1.183020106352247
256	1.1829198280735214
446	1.1824712358574692
471	1.1820890092570753
880	1.182036751628251
69	1.181958731176842
502	1.181897186155148
61	1.1818013261582359
413	1.1816889568835884
496	1.1816211694681393
462	1.1814562454002409
498	1.1813315738818455
878	1.1812917561099168
402	1.1812645988596135
922	1.181227352640754
533	1.1809067577147006
384	1.1808387944904817
484	1.1805392096410319
578	1.1802786184082532
885	1.1799849614596238
819	1.1797457598675432
371	1.1795114004781708
511	1.1793211730576751
667	1.1790847786074807
347	1.178893335227577
839	1.17877898157095
613	1.1784999113328876
872	1.1783312764863245
656	1.1783110530627363
854	1.1779150700385486
438	1.1778758713275765
529	1.1775051786122455
447	1.1772769798895335
861	1.1772647100259213
936	1.1772071625867508
824	1.1769102742924944
387	1.1761739512035154
497	1.1760547613870254
520	1.1760175520181222
906	1.1757745242188917
487	1.1756704141785468
364	1.175529277426802
456	1.1753507145144875
628	1.1752910469682674
461	1.1751130633250961
458	1.174068493970876
474	1.173769706326783
826	1.1734777914097783
552	1.1733768676698717
547	1.173256231088454
543	1.173227338915484
871	1.1728477943205515
775	1.1726886714786107
282	1.1723578784809179
531	1.1716714441142178
476	1.1714772924463812
49	1.1710137627491601
66	1.1708008732858664
414	1.170750174660634
597	1.170573673452826
883	1.1699876294781808
888	1.1692793028988573
289	1.1691261405296
488	1.16886423685088
620	1.1685949340220254
403	1.1685136452153215
296	1.1684545792172603
19	1.1683467031895776
685	1.1680689825996908
698	1.1675243050862774
521	1.1674780968899594
678	1.1666511759883487
445	1.1666227128283133
886	1.1665020904864318
344	1.166501526960994
866	1.1664844020633307
853	1.1660572360781587
352	1.1657806564641502
733	1.1656527237096814
949	1.1645585545657589
658	1.1644977593676549
691	1.1644312503051775
286	1.1637948193334329
670	1.1634292798108437
836	1.1622757403399515
644	1.161364151223286
443	1.1602173544064143
250	1.1587223102123665
925	1.1572264532454126
562	1.156897306589683
843	1.155585429344982
548	1.155416949309738
538	1.1550462324882032
809	1.1546508551949217
79	1.1540847859908856
312	1.153193063788364
221	1.1529543942209615
837	1.1525574512124759
563	1.1520507342469057
316	1.1516825739936625
868	1.1516164640837865
570	1.1512953422786407
551	1.150646552526145
603	1.1502190534837717
557	1.1485509073485227
20	1.1480937228030825
630	1.1465697091222211
143	1.1462058699465747
636	1.145425263519283
555	1.1452085409821013
426	1.1446090610080055
539	1.1439296140677304
477	1.143101046615093
101	1.1430448571307816
233	1.1423910498258254
16	1.1415772559452342
592	1.1407788907275067
867	1.140627124906068
865	1.139637060242339
556	1.1388541678321704
846	1.1377909163292586
632	1.1373711340322163
774	1.1356749970346174
373	1.134672578012259
633	1.134350094001182
663	1.1339204686431523
719	1.1328755836551754
657	1.1328393082604338
386	1.1326026836138687
330	1.1317165407381276
855	1.1315016388646668
353	1.13130230968868
423	1.1307633036700662
629	1.1306686003845705
483	1.1297987380300771
631	1.1294708699566727
760	1.1293056911863824
810	1.1282380348920946
951	1.126910077353101
506	1.1253900111635147
126	1.1226005897972011
343	1.1222240615221966
425	1.1202757962399916
588	1.119989171899524
418	1.1196684839095619
13	1.1196155171310533
463	1.1186741187005254
444	1.1163746226297808
772	1.1161349161472518
811	1.115333473573745
31	1.1148017747456531
571	1.1146654894929284
415	1.11437433068315
288	1.1139680020369276
34	1.1138409064077215
584	1.1136780078908062
582	1.1135183167380442
838	1.1122356170570746
313	1.111853811994134
769	1.1116846725455076
295	1.1100814734752413
583	1.1097475351765853
377	1.1097228779479396
30	1.1068622319791122
265	1.1066346863236092
892	1.106406516875151
901	1.1038864041335523
153	1.1026383286466908
362	1.1018867294181731
393	1.1009187066394936
740	1.1003548586261083
394	1.1000858412708556
448	1.1000223898476813
395	1.0996940875098762
339	1.0987748593171147
301	1.096503470149459
832	1.0957700434164657
38	1.0953062165242844
83	1.0946181125743493
851	1.093490610787407
752	1.0925364312961334
550	1.0893876131934417
646	1.088252860453768
75	1.0871433346843893
783	1.0862680422455293
251	1.0835472436120666
340	1.0835274075059946
78	1.080452199401157
262	1.0769599819480595
314	1.073278451405224
455	1.0720336043329748
674	1.0714977533203107
850	1.070422748016879
771	1.0700747166181561
243	1.0691253281086337
998	1.0691027561981479
639	1.068206873261181
363	1.0679233620282376
261	1.0674488017446715
481	1.067058633441755
739	1.0669869758624828
277	1.0660931321514204
1	1.066051676024349
304	1.0657843438399386
757	1.0656234224844667
17	1.0650602944743475
4	1.0644769743427567
174	1.0635030872144853
767	1.0628198715445691
778	1.0624808243486048
762	1.061708609818649
360	1.061179066297294
54	1.0610602440995922
253	1.0610560497937007
33	1.061005526977233
223	1.060988705623497
179	1.0587673222862575
976	1.0585413685907448
228	1.0584711832209528
712	1.0578630053472158
898	1.0560743749899713
366	1.0520234213167992
841	1.0508771146536893
812	1.0488921579123167
260	1.0486978093222923
749	1.046394494661582
283	1.0460170457506908
780	1.045207945775297
747	1.0449674760541408
77	1.0441993334174748
323	1.044195654542463
197	1.0419070981165812
469	1.0413900704113523
115	1.0411873567437095
70	1.0401204892789468
666	1.0384494002567897
209	1.0381293614674116
602	1.0361788574578095
242	1.0333933028207363
754	1.0306599440420188
110	1.0288255691866017
315	1.0271580198894612
327	1.0269687344535052
247	1.0263039692224478
195	1.0234161827988832
790	1.0221138407241603
346	1.0200761069890412
786	1.0182723150592068
336	1.0181055733835482
709	1.0131400318776096
280	1.011167000274102
640	1.0104779353292332
337	1.0062508761147302
467	1.0049117241798593
995	1.0048855835401296
532	1.0029669297920154
457	1.0028899837659406
755	1.002323804978509
662	1.0021624571889365
565	1.0015380158304867
391	1.001459141372555
307	1.0014332075019408
134	0.9991501393163094
81	0.9986745036947285
50	0.9986576261728913
146	0.9980550298329756
756	0.9961481821148325
230	0.9946740194254599
849	0.9944892105075733
180	0.9932416988065919
231	0.9921694354925991
3	0.9894296934973975
808	0.9884546564555212
792	0.9883817754153583
65	0.9873686454396425
104	0.9827485224903689
163	0.9813121335585122
214	0.9806421488114345
796	0.9804620783408703
789	0.9791214231444006
291	0.9779426442702628
503	0.9755425436567121
285	0.9745454435973373
308	0.9728359008934092
276	0.9723805489196351
431	0.9721787945214391
417	0.97076674604299
309	0.9700464216095624
165	0.9687975552761957
229	0.9669882440139048
321	0.9663815142589509
598	0.964693031016331
52	0.9637061703320668
433	0.9607738350761739
514	0.9595185280652918
495	0.9579590024907993
302	0.95761374139788
579	0.9533831216897024
317	0.9527258872957389
419	0.9520861184731068
784	0.9514948659851166
600	0.9514170113508755
546	0.949090001729997
167	0.9462783543600828
681	0.9455998741900021
2	0.942960108500189
369	0.9425877872731948
205	0.9423231107607525
132	0.9409536912778934
950	0.9407633717074162
815	0.9402872211712314
198	0.9373688056621016
920	0.9363426954170777
988	0.936146700593028
857	0.9360420214680925
856	0.9360080472427189
902	0.9359918960674404
993	0.9359264599613047
903	0.9357934128479024
985	0.9357817411428277
938	0.9357652411203344
897	0.9355609659721705
896	0.9354112501159023
909	0.9352007398838923
946	0.9351534525679654
900	0.9351063001524177
899	0.9350937708949819
863	0.9349701173238038
924	0.9348917677892894
921	0.9348366423450075
144	0.9348082804192284
997	0.9346062838137029
973	0.9344269210514398
964	0.9342731733657674
967	0.9342207312126132
895	0.93420994779746
948	0.9341486344289753
862	0.9340767062148891
788	0.9340595452869902
937	0.9336215887541082
963	0.9335983027643652
943	0.9329549930376211
945	0.9327061865217774
859	0.9326505296119417
249	0.9326106907735003
917	0.9321456218114695
116	0.932141111901133
965	0.9320124675672614
956	0.9319641003046215
960	0.9318359508526332
944	0.9316435553336654
795	0.9316087808665717
860	0.9311378696179269
966	0.9303172666573961
894	0.9300188223200417
959	0.9295315561638329
910	0.9293751035253539
173	0.9290394850894605
915	0.9290051892272368
85	0.9290012501369369
263	0.9287773879898109
848	0.9285422856391407
380	0.9284539525958322
12	0.9279174348628587
842	0.927255916302081
858	0.9264735189956436
932	0.9256693116562463
758	0.9247775041215817
269	0.924672487567053
72	0.9243121294709005
935	0.92427344336393
933	0.9242525246428026
718	0.924005130906682
141	0.9233891802368648
147	0.9233608430367589
847	0.9216409925671771
722	0.9204871965521364
125	0.9199248565470153
297	0.9197613878536082
303	0.9192115031105735
299	0.9172372613001383
834	0.9168565150380874
189	0.9158620182334871
187	0.9157552922797725
962	0.91262419621623
405	0.9122209143825503
127	0.9102356397668279
800	0.9080129864822712
975	0.9031175600722431
475	0.9018836300633921
713	0.9015569758665978
977	0.9006755200425476
970	0.8994455931755149
119	0.8987976369168189
225	0.8961606935515961
23	0.8939237231967198
913	0.8934172392310337
939	0.8931239303170854
11	0.8930749976637923
736	0.8930562266989766
213	0.8924629468499448
107	0.8924233588441052
974	0.8923722483170957
466	0.8922698881838902
151	0.8918306271415887
617	0.8916556246129593
835	0.8905842323551486
801	0.8869279686935689
128	0.8849824838937806
677	0.8849465494172718
831	0.883818375385086
122	0.8822524823089886
150	0.882062903054157
807	0.8819194103764466
779	0.8805020610408425
785	0.8727988519203941
971	0.8686257949509018
645	0.8646381054802681
797	0.8626601476205765
207	0.8625096161019696
805	0.8610527336071961
643	0.8581213730781582
211	0.8514056842399966
806	0.849975160623632
776	0.847299960072767
232	0.8427516406077173
969	0.8400908003763226
873	0.8371078969180209
994	0.8222374788699626
799	0.8188326911406127
972	0.8187203020600394
227	0.8135847061705669
833	0.8122811134351492
287	0.8091296293290151
326	0.8034706351384359
206	0.7973404071025474
424	0.7966954204997019
978	0.7878766255612505
215	0.7857594128876161
136	0.7857305385841183
813	0.7857040262713957
177	0.7852607334996781
111	0.7848531177552458
817	0.7754889442740142
361	0.7752542533637289
200	0.7730897733959161
135	0.772013814823647
816	0.7712427964793405
928	0.7696723795164332
124	0.7689575436492443
979	0.7683825835275343
320	0.7662065045560368
329	0.7658357571591138
178	0.7643342851222906
804	0.7627526609849142
572	0.761567841539249
359	0.761482951456192
821	0.7614582411663658
984	0.758671819769662
983	0.7581750356055061
981	0.7577482411579101
947	0.7570342318325975
652	0.7566562256789342
236	0.7561003402800128
114	0.7558925058098901
325	0.7543920529949162
820	0.7538572260391269
105	0.7537986485660416
196	0.7532659888651291
204	0.7527855526123504
982	0.7509924698357607
102	0.7508948956270443
244	0.7503845641447225
322	0.7499872341612122
160	0.7498703399913064
434	0.7493894254202375
199	0.749114058154269
338	0.7477644286483149
392	0.7454000195137175
80	0.72184705060187
803	0.7016234331435527
953	0.7016234331435527
26	0.7016234331435527
955	0.7016234331435527
927	0.7016234331435527
724	0.7016234331435527
725	0.7016234331435527
726	0.7016234331435527
954	0.7016234331435527
986	0.7000161158125071
702	0.6974206387474202
22	0.6947478768922286
305	0.6907146343044028
996	0.6830832680994141
152	0.6773994664455198
145	0.6584503949365825
654	0.657055526139699
306	0.6503409884280172
653	0.6464067704435096
791	0.6432508188676599
918	0.6298429600376403
642	0.6235286736010116
637	0.6223650381779472
158	0.6211239385724013
705	0.6211239385724013
100	0.6211239385724013
732	0.6211239385724013
730	0.6211239385724013
416	0.6211239385724013
931	0.6211239385724013
120	0.6211239385724013
40	0.6211239385724013
378	0.6211239385724013
354	0.6211239385724013
345	0.6211239385724013
10	0.6211239385724013
234	0.6211239385724013
182	0.6211239385724013
157	0.6211239385724013
911	0.6211239385724013
208	0.6211239385724013
254	0.6211239385724013
9	0.6211239385724013
268	0.6211239385724013
186	0.6211239385724013
266	0.6211239385724013
845	0.6211239385724012
106	0.6211239385724012
71	0.6211239385724012
53	0.6211239385724012
103	0.6211239385724012
64	0.6211239385724012
60	0.6211239385724012
97	0.6211239385724012
58	0.6211239385724012
108	0.6211239385724012
36	0.6211239385724012
113	0.6211239385724012
175	0.6211239385724012
310	0.6211239385724012
591	0.6211239385724012
292	0.6211239385724012
7	0.6211239385724012
201	0.6211239385724012
684	0.6211239385724012
218	0.6211239385724012
219	0.6211239385724012
220	0.6211239385724012
224	0.6211239385724012
226	0.6211239385724012
117	0.6211239385724012
235	0.6211239385724012
635	0.6211239385724012
275	0.6211239385724012
245	0.6211239385724012
627	0.6211239385724012
252	0.6211239385724012
255	0.6211239385724012
615	0.6211239385724012
183	0.6211239385724012
616	0.6211239385724012
468	0.6211239385724012
501	0.6211239385724012
129	0.6211239385724012
133	0.6211239385724012
172	0.6211239385724012
765	0.6211239385724012
148	0.6211239385724012
149	0.6211239385724012
156	0.6211239385724012
166	0.6211239385724012
738	0.6211239385724012
564	0.6211239385724012
319	0.6211239385724012
743	0.6172988037562027
793	0.6172988037562026
608	0.5915515745121952
968	0.5915515745121952
621	0.5915515745121952
980	0.590999704364624
798	0.590521332829536
794	0.5796454934223424
787	0.5763580469698238
188	0.566829644794632
181	0.5484381492335387
267	0.52544598846058
952	0.496339143635469
802	0.49287596413305335
958	0.4878392020703086
961	0.4867294997549617
766	0.46601524149120827
992	0.4621168299246825
957	0.4601222053677874
912	0.45200900201992084
121	0.44652296667158703
735	0.44216726086810276
311	0.4047457291588936
919	0.08403410399627885
991	0.0
990	0.0
989	0.0
987	0.0
930	0.0
929	0.0
27	0.0
904	0.0
905	0.0
940	0.0
941	0.0
28	0.0
486	0.0
162	0.0
890	0.0
889	0.0
370	0.0
367	0.0
351	0.0
350	0.0
573	0.0
574	0.0
300	0.0
298	0.0
294	0.0
293	0.0
274	0.0
273	0.0
272	0.0
259	0.0
258	0.0
257	0.0
241	0.0
240	0.0
238	0.0
237	0.0
647	0.0
541	0.0
540	0.0
382	0.0
436	0.0
485	0.0
473	0.0
499	0.0
472	0.0
451	0.0
450	0.0
437	0.0
512	0.0
513	0.0
422	0.0
383	0.0
421	0.0
522	0.0
523	0.0
524	0.0
525	0.0
408	0.0
407	0.0
398	0.0
397	0.0
649	0.0
650	0.0
651	0.0
87	0.0
161	0.0
99	0.0
98	0.0
96	0.0
95	0.0
92	0.0
91	0.0
90	0.0
88	0.0
76	0.0
742	0.0
74	0.0
874	0.0
875	0.0
876	0.0
877	0.0
68	0.0
67	0.0
57	0.0
56	0.0
744	0.0
164	0.0
655	0.0
193	0.0
659	0.0
660	0.0
217	0.0
216	0.0
672	0.0
673	0.0
689	0.0
692	0.0
194	0.0
192	0.0
168	0.0
191	0.0
190	0.0
714	0.0
715	0.0
716	0.0
717	0.0
727	0.0
170	0.0
169	0.0
500	0.0
